id,title,description,link,image_link,price,availability,condition,brand,google_product_category,additional_image_link
4579931064,"Pyrite, Huanzala Mine Peru, 1 kg, 9 x 7 x 10 cm | Collector Grade | Cabinet","A self-standing, cabinet size, collection piece of euhedral octahedral pyrite. Collected from Huanzala Mine, Ancash, Peru, this pieces is 9 x 7 x 10 cm and weighs 1024 grams. It is an excellent example of one of pyrites multiple crystal habits and is an excellent addition to any collection!",https://shop.hunterrockandmineral.com/piece/4579931064/,https://i.etsystatic.com/41028267/r/il/511891/8558137138/il_1140xN.8558137138_c6ii.jpg,75.00 USD,in stock,new,Hunter Rock and Mineral,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils,"https://i.etsystatic.com/41028267/r/il/7329f0/8605995283/il_1140xN.8605995283_9kvj.jpg,https://i.etsystatic.com/41028267/r/il/7e3812/8605995383/il_1140xN.8605995383_5lzr.jpg,https://i.etsystatic.com/41028267/r/il/12cc07/8605995539/il_1140xN.8605995539_79be.jpg,https://i.etsystatic.com/41028267/r/il/ff6eb9/8605995647/il_1140xN.8605995647_k1pw.jpg,https://i.etsystatic.com/41028267/r/il/dc1ad1/8558137640/il_1140xN.8558137640_pz4m.jpg"
4579930186,"Pyrite, Huanzala Mine Peru, 816 g, 11 x 6 x 7 cm | Collector Grade | Cabinet","A self-standing, cabinet size, collection piece of euhedral octahedral pyrite. Collected from Huanzala Mine, Ancash, Peru, this pieces is 11 x 6 x 7 cm and weighs 816 grams. It is an excellent example of one of pyrites multiple crystal habits and is an excellent addition to any collection!",https://shop.hunterrockandmineral.com/piece/4579930186/,https://i.etsystatic.com/41028267/r/il/bc1f6c/8558133080/il_1140xN.8558133080_ivjd.jpg,75.00 USD,in stock,new,Hunter Rock and Mineral,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils,"https://i.etsystatic.com/41028267/r/il/8238f5/8558130782/il_1140xN.8558130782_qsse.jpg,https://i.etsystatic.com/41028267/r/il/72cebf/8558130854/il_1140xN.8558130854_9gd9.jpg,https://i.etsystatic.com/41028267/r/il/b1ba59/8605989131/il_1140xN.8605989131_qq3l.jpg,https://i.etsystatic.com/41028267/r/il/f530cd/8558131058/il_1140xN.8558131058_laa6.jpg,https://i.etsystatic.com/41028267/r/il/0c24e5/8558131162/il_1140xN.8558131162_lky6.jpg,https://i.etsystatic.com/41028267/r/il/350971/8605989375/il_1140xN.8605989375_pxxn.jpg,https://i.etsystatic.com/41028267/r/il/86f7e3/8605989445/il_1140xN.8605989445_9tud.jpg,https://i.etsystatic.com/41028267/r/il/7c1c89/8605989559/il_1140xN.8605989559_jkor.jpg"
4579928837,"Almandine Garnet with Graphite and Dravite, Red Embers Mine Massachusetts, 285 g, 28 x 14 x 1 cm | Museum Grade | Large Cabinet","A museum grade specimen of transparent red garnets strewn in a matrix of graphite that measures 28 x 14 x 1 cm and weighs 285 grams. The garnets have been exfoliated by hand so they can be lit from behind. This large cabinet specimen was collected from Red Embers Mine, Erving, Massachusetts, USA, a world-unique location, and will make an incredible, eye catching addition to any collection.",https://shop.hunterrockandmineral.com/piece/4579928837/,https://i.etsystatic.com/41028267/r/il/ff3349/8558243836/il_1140xN.8558243836_7xlh.jpg,1800.00 USD,in stock,new,Hunter Rock and Mineral,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils,"https://i.etsystatic.com/41028267/r/il/8f0413/8606100941/il_1140xN.8606100941_gb61.jpg,https://i.etsystatic.com/41028267/r/il/459576/8558244014/il_1140xN.8558244014_tcf7.jpg,https://i.etsystatic.com/41028267/r/il/22f3a3/8606101421/il_1140xN.8606101421_fjp5.jpg,https://i.etsystatic.com/41028267/r/il/cf6197/8606101529/il_1140xN.8606101529_jzeo.jpg,https://i.etsystatic.com/41028267/r/il/e69e35/8558244638/il_1140xN.8558244638_sumr.jpg,https://i.etsystatic.com/41028267/r/il/7011b4/8606101759/il_1140xN.8606101759_jwrj.jpg,https://i.etsystatic.com/41028267/r/il/0a949c/8558244822/il_1140xN.8558244822_h65d.jpg,https://i.etsystatic.com/41028267/r/il/ad55ed/8558244902/il_1140xN.8558244902_nuba.jpg,https://i.etsystatic.com/41028267/r/il/f1d763/8606102037/il_1140xN.8606102037_4oyg.jpg"
4579928740,"Pyrite, Huanzala Mine Peru, 741 g, 9 x 7 x 6 cm | Collector Grade | Cabinet","A self-standing, cabinet size, collection piece of euhedral octahedral pyrite. Collected from Huanzala Mine, Ancash, Peru, this pieces is 9 x 7 x 6 cm and weighs 741 grams. It is an excellent example of one of pyrites multiple crystal habits and is an excellent addition to any collection!",https://shop.hunterrockandmineral.com/piece/4579928740/,https://i.etsystatic.com/41028267/r/il/f7e974/8558119558/il_1140xN.8558119558_8bxr.jpg,75.00 USD,in stock,new,Hunter Rock and Mineral,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils,"https://i.etsystatic.com/41028267/r/il/e49120/8605977527/il_1140xN.8605977527_6k03.jpg,https://i.etsystatic.com/41028267/r/il/4e64a2/8558119764/il_1140xN.8558119764_swix.jpg,https://i.etsystatic.com/41028267/r/il/683a37/8558119854/il_1140xN.8558119854_ghym.jpg,https://i.etsystatic.com/41028267/r/il/a59083/8605977807/il_1140xN.8605977807_hf9r.jpg,https://i.etsystatic.com/41028267/r/il/1e369a/8605977901/il_1140xN.8605977901_31xs.jpg,https://i.etsystatic.com/41028267/r/il/d29b1c/8558120104/il_1140xN.8558120104_4443.jpg,https://i.etsystatic.com/41028267/r/il/a8a7f5/8558120272/il_1140xN.8558120272_bznh.jpg,https://i.etsystatic.com/41028267/r/il/ae9a0b/8605978355/il_1140xN.8605978355_smt2.jpg"
4579922624,"Pyrite, Huanzala Mine Peru, 941 g, 11 x 9 x 6 cm | Collector Grade | Cabinet","A self-standing, cabinet size, collection piece of euhedral octahedral pyrite. Collected from Huanzala Mine, Ancash, Peru, this pieces is 11 x 9 x 6 cm and weighs 941 grams. It is an excellent example of one of pyrites multiple crystal habits and is an excellent addition to any collection!",https://shop.hunterrockandmineral.com/piece/4579922624/,https://i.etsystatic.com/41028267/r/il/92cc6f/8558074292/il_1140xN.8558074292_47xv.jpg,95.00 USD,in stock,new,Hunter Rock and Mineral,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils,"https://i.etsystatic.com/41028267/r/il/b6f517/8605932329/il_1140xN.8605932329_i9qf.jpg,https://i.etsystatic.com/41028267/r/il/c30bf9/8605932425/il_1140xN.8605932425_7wxh.jpg,https://i.etsystatic.com/41028267/r/il/d7e623/8605932691/il_1140xN.8605932691_16a2.jpg,https://i.etsystatic.com/41028267/r/il/b08f28/8558074894/il_1140xN.8558074894_sliw.jpg,https://i.etsystatic.com/41028267/r/il/22a45c/8605933095/il_1140xN.8605933095_a2al.jpg,https://i.etsystatic.com/41028267/r/il/8b1e13/8605933193/il_1140xN.8605933193_e4y1.jpg,https://i.etsystatic.com/41028267/r/il/5f4c30/8605933321/il_1140xN.8605933321_4w5v.jpg"
4579918960,"Pyrite, Huanzala Mine Peru, 1.7 kg, 11 x 10 x 10 cm | Collector Grade | Cabinet","A self-standing, cabinet size, collection piece of euhedral octahedral pyrite. Collected from Huanzala Mine, Ancash, Peru, this pieces is 11 x 10 x 10 cm and weighs 1713 grams. It is an excellent example of one of pyrites multiple crystal habits and is an excellent addition to any collection!",https://shop.hunterrockandmineral.com/piece/4579918960/,https://i.etsystatic.com/41028267/r/il/764676/8558061622/il_1140xN.8558061622_ryev.jpg,95.00 USD,in stock,new,Hunter Rock and Mineral,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils,"https://i.etsystatic.com/41028267/r/il/c7c5a0/8605906569/il_1140xN.8605906569_8t8v.jpg,https://i.etsystatic.com/41028267/r/il/eeb6c4/8558048754/il_1140xN.8558048754_40ko.jpg,https://i.etsystatic.com/41028267/r/il/7edbe1/8605907005/il_1140xN.8605907005_cp7r.jpg,https://i.etsystatic.com/41028267/r/il/2ceebb/8558049068/il_1140xN.8558049068_gwf8.jpg,https://i.etsystatic.com/41028267/r/il/778ed8/8605907227/il_1140xN.8605907227_rglx.jpg,https://i.etsystatic.com/41028267/r/il/24b2b2/8558049340/il_1140xN.8558049340_b9oz.jpg,https://i.etsystatic.com/41028267/r/il/c0cd21/8605907589/il_1140xN.8605907589_o4ov.jpg"
4579915783,"Pyrite, Huanzala Mine Peru, 741 g, 7 x 7 x 9 cm | Collector Grade | Cabinet","A self-standing, cabinet size, collection piece of euhedral octahedral pyrite. Collected from Huanzala Mine, Ancash, Peru, this pieces is 7 x 7 x 9 cm and weighs 741 grams. It is an excellent example of one of pyrites multiple crystal habits and is an excellent addition to any collection!",https://shop.hunterrockandmineral.com/piece/4579915783/,https://i.etsystatic.com/41028267/r/il/686e09/8558146202/il_1140xN.8558146202_a8gn.jpg,75.00 USD,in stock,new,Hunter Rock and Mineral,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils,"https://i.etsystatic.com/41028267/r/il/831569/8606004037/il_1140xN.8606004037_8kki.jpg,https://i.etsystatic.com/41028267/r/il/66a985/8606004151/il_1140xN.8606004151_n5l3.jpg,https://i.etsystatic.com/41028267/r/il/4f826b/8558146492/il_1140xN.8558146492_eewt.jpg,https://i.etsystatic.com/41028267/r/il/5c1256/8606004387/il_1140xN.8606004387_fj8y.jpg,https://i.etsystatic.com/41028267/r/il/67ede5/8558146718/il_1140xN.8558146718_clwr.jpg,https://i.etsystatic.com/41028267/r/il/8ba74d/8558146834/il_1140xN.8558146834_hyy4.jpg,https://i.etsystatic.com/41028267/r/il/35ee17/8606004703/il_1140xN.8606004703_d8so.jpg,https://i.etsystatic.com/41028267/r/il/4edd2c/8606004831/il_1140xN.8606004831_oqb8.jpg,https://i.etsystatic.com/41028267/r/il/d7f184/8558147356/il_1140xN.8558147356_4p3r.jpg"
4579907953,"Pyrite, Huanzala Mine Peru, 1.2 kg, 10 x 9 x 12 cm | Collector Grade | Large Cabinet","A self-standing, large cabinet size, collection piece of euhedral octahedral pyrite. Collected from Huanzala Mine, Ancash, Peru, this pieces is 10 x 9 x 12 cm and weighs 1242 grams. It is an excellent example of one of pyrites multiple crystal habits and is an excellent addition to any collection!",https://shop.hunterrockandmineral.com/piece/4579907953/,https://i.etsystatic.com/41028267/r/il/b4a47f/8558093518/il_1140xN.8558093518_lp1q.jpg,95.00 USD,in stock,new,Hunter Rock and Mineral,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils,"https://i.etsystatic.com/41028267/r/il/b84263/8558089288/il_1140xN.8558089288_lu2d.jpg,https://i.etsystatic.com/41028267/r/il/8bb479/8605947499/il_1140xN.8605947499_dy8r.jpg,https://i.etsystatic.com/41028267/r/il/5af6e4/8605947599/il_1140xN.8605947599_t0qq.jpg,https://i.etsystatic.com/41028267/r/il/dfdeec/8558089606/il_1140xN.8558089606_gju6.jpg,https://i.etsystatic.com/41028267/r/il/b1fb25/8605947809/il_1140xN.8605947809_6orv.jpg,https://i.etsystatic.com/41028267/r/il/b11844/8558089778/il_1140xN.8558089778_7sgt.jpg,https://i.etsystatic.com/41028267/r/il/396a74/8605948003/il_1140xN.8605948003_13ch.jpg"
4579900015,"Barite, Huamalies Province Peru, 289 g, 12 x 8 x 6 cm | Collector Grade | Large Cabinet","A collection grade, large cabinet size piece of euhedral, blades of Barite (Baryte) on matrix. Collected from Huamalies Province, Peru, this piece measures 12 x 8 x 6 cm and weighs 289 grams and is an excellent example of this crystal habit of barite to add to any collection!",https://shop.hunterrockandmineral.com/piece/4579900015/,https://i.etsystatic.com/41028267/r/il/d89e4b/8558117666/il_1140xN.8558117666_6oaa.jpg,125.00 USD,in stock,new,Hunter Rock and Mineral,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils,"https://i.etsystatic.com/41028267/r/il/6b51f2/8605888731/il_1140xN.8605888731_991a.jpg,https://i.etsystatic.com/41028267/r/il/eb66a1/8558030478/il_1140xN.8558030478_hisg.jpg,https://i.etsystatic.com/41028267/r/il/fb1c8b/8558030558/il_1140xN.8558030558_erlq.jpg,https://i.etsystatic.com/41028267/r/il/96f428/8558030644/il_1140xN.8558030644_t0vb.jpg,https://i.etsystatic.com/41028267/r/il/36f604/8558030758/il_1140xN.8558030758_s2kx.jpg,https://i.etsystatic.com/41028267/r/il/def722/8605889277/il_1140xN.8605889277_ji2e.jpg,https://i.etsystatic.com/41028267/r/il/b3486c/8605889341/il_1140xN.8605889341_8420.jpg,https://i.etsystatic.com/41028267/r/il/c086cd/8605889447/il_1140xN.8605889447_98j2.jpg,https://i.etsystatic.com/41028267/r/il/4abf82/8605889569/il_1140xN.8605889569_g4i2.jpg"
4579898533,"Almandine Garnet with Graphite, Red Embers Mine Massachusetts, 91 g, 11 x 9 x 1 cm | Collector Grade | Cabinet","A collection grade specimen of transparent red garnets strewn in a matrix of graphite that measures 11 x 9 x 1 cm and weighs 91 grams. The garnets have been exfoliated by hand so they can be lit from behind. This cabinet specimen was collected from Red Embers Mine, Erving, Massachusetts, USA, a world-unique location, and will make an incredible, eye catching addition to any collection.",https://shop.hunterrockandmineral.com/piece/4579898533/,https://i.etsystatic.com/41028267/r/il/dcb9e5/8558020086/il_1140xN.8558020086_7ytp.jpg,165.00 USD,in stock,new,Hunter Rock and Mineral,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils,"https://i.etsystatic.com/41028267/r/il/e51d2f/8558020208/il_1140xN.8558020208_kv8f.jpg,https://i.etsystatic.com/41028267/r/il/8cbd77/8605878793/il_1140xN.8605878793_1yiq.jpg,https://i.etsystatic.com/41028267/r/il/7a80f8/8605878889/il_1140xN.8605878889_79zy.jpg,https://i.etsystatic.com/41028267/r/il/7abaf8/8558020574/il_1140xN.8558020574_f4ff.jpg,https://i.etsystatic.com/41028267/r/il/5ba210/8605879241/il_1140xN.8605879241_fdb3.jpg,https://i.etsystatic.com/41028267/r/il/7b6af2/8605879429/il_1140xN.8605879429_nu1l.jpg,https://i.etsystatic.com/41028267/r/il/c9f589/8605879585/il_1140xN.8605879585_5xz6.jpg,https://i.etsystatic.com/41028267/r/il/b46c70/8558021202/il_1140xN.8558021202_ele3.jpg"
